Județ;Localitate;Adresa;Tip;Latitudine;Longitudine;Capacitatea
BIF;Sector 1;The Mark (birouri), Calea Grivitei nr. 84-98;privat;44.446823;26.079956;109
BIF;Sector 1;The Mark (birouri), Calea Grivitei nr. 84-98;privat;44.446823;26.079956;100
BIF;Sector 1;Afi Victoriei Plaza (birouri), Bld. Aviatorilor nr. 8-8A;privat;44.454217;26.087252;200
BIF;Sector 1;Premium Plaza (birouri), Str. Dr. Felix nr. 63-69;privat;44.452015;26.081057;300
BIF;Sector 1;Premium Point (birouri), Str. Buzesti nr. 76-80;privat;44.450271;26.084004;400
BIF;Sector 1;Nusco Imobiliare (birouri), Calea Floreasca nr. 133-137;privat;44.461459;26.101022;390
BIF;Sector 1;Cedars Land Office Building (birouri), Sos. Pipera nr. 4;privat;44.479026;26.094682;35
BIF;Sector 1;Bld. Nicoale Balcesu nr. 17A (birouri);privat;44.437994;26.100585;41
BIF;Sector 1;Unimed (birouri), Str. Tudor Arghezi nr. 8-10;privat;44.437456;26.104906;80
BIF;Sector 1;"One Herastrau Office (birou), str. Daniel Danielopolu nr.
30-32";privat;44.485248;26.091304;120
BIF;Sector 1;"Pechea Office Building (birou), str. Daniel Danielopolu
nr. 4-6";privat;44.484731;26.091615;100
BIF;Sector 1;One Herastrau Plaza (locuinte), Str. Zagazului nr. 21-25;privat;44.478945;26.093920;80
BIF;Sector 1;One Herastrau Plaza (locuinte), Str. Zagazului nr. 21-25;privat;44.478945;26.093920;80
BIF;Sector 1;One Herastrau Plaza (locuinte), Str. Zagazului nr. 21-25;privat;44.478945;26.093920;80
BIF;Sector 1;One Herastrau Plaza (locuinte), Str. Zagazului nr. 21-25;privat;44.478945;26.093920;80
BIF;Sector 1;Ivy S.R.L. (birouri), Str. Occidentului nr. 3;privat;44.447941;26.082925;60
BIF;Sector 1;Geres Real Estate (birouri), Sos. Nordului nr. 24-26;privat;44.476884;26.089463;150
BIF;Sector 1;"Expo Business Park (birouri), Str. Comandor Av.
Popisteanu nr. 54A";privat;44.473393;26.055383;153
BIF;Sector 1;Tiriac Tower (birouri), Str. Buzesti nr. 82-94;privat;44.448833;26.083223;300
BIF;Sector 1;"Tower Center International (birouri), Bld. Ion Mihalache
nr. 15-17";privat;44.454630;26.081497;132
BIF;Sector 1;"Tower Center International (birouri), Bld. Ion Mihalache
nr. 15-18";privat;44.454630;26.081497;84
BIF;Sector 1;Global City Bussines Park, Sos. Bucureşti Nord, nr. 10;privat;44.489593;26.127138;1750
BIF;Sector 1;"Liceul Teoretic ""Nicolae Tonitza"" (unitate de
invatamant),  Bld. Iancu de Hunedoara nr. 27";public;44.440844;26.085236;400
BIF;Sector 1;"Str. Grigore Manolescu nr. 22-24 Institutul Naţional de
Diabet";public;44,456341;26,077135;200
BIF;Sector 1;"Str. Mãrãşti nr. 59 Univ. de Ştiinţe Agronomice şi
Medicinã Veterinarã";public;45,471486;26,071075;300
BIF;Sector 1;Str. Marmurei nr.13-15 Grãdiniţa nr. 46;public;44,481666;26,027246;200
BIF;Sector 1;"Str. Parcului nr. 65 S.A. MONITORUL  OFICIAL
(clădire veche)";public;44,479999;26,056525;100
